["port 1",""]
["port 2",""]
("port 1","mode 1",1,"port 1",1,"transmission")
(300, 3)
1.7698042720243950e+14 3.7331631801378121e-02 2.1153221573086340e+00
1.7710681170175094e+14 3.8051849959654653e-02 2.1900059078727643e+00
1.7723319620106234e+14 3.8922265038081875e-02 2.2662580125573095e+00
1.7735958070037378e+14 3.9921384876896046e-02 2.3446164252112451e+00
1.7748596519968522e+14 4.1027030125806066e-02 2.4253164173023656e+00
1.7761234969899666e+14 4.2219412478371528e-02 2.5083686647755381e+00
1.7773873419830806e+14 4.3482904402062011e-02 2.5936495181689820e+00
1.7786511869761950e+14 4.4806530757253327e-02 2.6809821380571339e+00
1.7799150319693094e+14 4.6183418474384126e-02 2.7701967971471677e+00
1.7811788769624238e+14 4.7609539008123238e-02 2.8611666576366397e+00
1.7824427219555381e+14 4.9082100283667503e-02 2.9538206665030766e+00
1.7837065669486522e+14 5.0597916373327959e-02 3.0481382577307792e+00
1.7849704119417666e+14 5.2152020614859074e-02 3.1441319516883750e+00
1.7862342569348809e+14 5.3736703319029341e-02 3.2418241310753046e+00
1.7874981019279953e+14 5.5341061597081034e-02 3.3412235119759188e+00
1.7887619469211094e+14 5.6951060962962242e-02 3.4423053877589460e+00
1.7900257919142238e+14 5.8550039605120077e-02 3.5449979673776775e+00
1.7912896369073381e+14 6.0119544441837182e-02 3.6491754599748853e+00
1.7925534819004525e+14 6.1640373717696352e-02 3.7546572906588018e+00
1.7938173268935666e+14 6.3093708229820647e-02 3.8612121110598658e+00
1.7950811718866809e+14 6.4462233617054776e-02 3.9685650608023826e+00
1.7963450168797953e+14 6.5731181176588535e-02 4.0764068995476084e+00
1.7976088618729097e+14 6.6889238366824144e-02 4.1844039914583515e+00
1.7988727068660241e+14 6.7929299161839096e-02 4.2922085406339061e+00
1.8001365518591381e+14 6.8849037436421331e-02 4.3994688526628041e+00
1.8014003968522525e+14 6.9651293494483763e-02 4.5058396822825291e+00
1.8026642418453669e+14 7.0344265361851233e-02 4.6109928933774169e+00
1.8039280868384812e+14 7.0941493934650601e-02 4.7146286871463285e+00
1.8051919318315953e+14 7.1461626869980227e-02 4.8164875319048353e+00
1.8064557768247097e+14 7.1927943671519709e-02 4.9163626469962249e+00
1.8077196218178241e+14 7.2367627912534066e-02 5.0141124716069214e+00
1.8089834668109384e+14 7.2810785782898804e-02 5.1096720493524224e+00
1.8102473118040525e+14 7.3289235073750056e-02 5.2030618015783086e+00
1.8115111567971669e+14 7.3835123650010229e-02 5.2943919167437343e+00
1.8127750017902812e+14 7.4479475073520165e-02 5.3838607285649687e+00
1.8140388467833956e+14 7.5250790808402412e-02 5.4717461024967529e+00
1.8153026917765100e+14 7.6173851265500317e-02 5.5583899563912551e+00
1.8165665367696241e+14 7.7268842552176586e-02 5.6441773676841578e+00
1.8178303817627384e+14 7.8550890355302896e-02 5.7295128768145114e+00
1.8190942267558528e+14 8.0030014921407530e-02 5.8147971884586394e+00
1.8203580717489672e+14 8.1711447883892785e-02 5.9004072735937081e+00
1.8216219167420812e+14 8.3596191854176535e-02 5.9866819445764072e+00
1.8228857617351956e+14 8.5681672482472077e-02 6.0739136289107902e+00
1.8241496067283100e+14 8.7962336568116348e-02 6.1623457349676114e+00
1.8254134517214244e+14 9.0430085343015262e-02 6.2521740499697787e+00
1.8266772967145384e+14 9.3074488370006384e-02 6.3435502204437828e+00
1.8279411417076528e+14 9.5882786328553044e-02 6.4365855202465321e+00
1.8292049867007672e+14 9.8839746627776393e-02 6.5313536494263920e+00
1.8304688316938816e+14 1.0192747396874190e-01 6.6278920083388675e+00
1.8317326766869959e+14 1.0512529309410235e-01 6.7262015514521076e+00
1.8329965216801100e+14 1.0840981240170273e-01 6.8262458021823313e+00
1.8342603666732244e+14 1.1175524854707618e-01 6.9279498406274236e+00
1.8355242116663388e+14 1.1513405032191350e-01 7.0312000688516161e+00
1.8367880566594531e+14 1.1851781311959228e-01 7.1358453721514001e+00
1.8380519016525672e+14 1.2187843126188580e-01 7.2417000108797396e+00
1.8393157466456816e+14 1.2518940115664057e-01 7.3485482752263893e+00
1.8405795916387959e+14 1.2842716836393750e-01 7.4561506758327880e+00
1.8418434366319103e+14 1.3157240825205629e-01 7.5642512626011502e+00
1.8431072816250244e+14 1.3461114234928664e-01 7.6725855755652672e+00
1.8443711266181388e+14 1.3753561750905929e-01 7.7808887302472964e+00
1.8456349716112531e+14 1.4034490743694372e-01 7.8889032086282072e+00
1.8468988166043675e+14 1.4304522990677682e-01 7.9963860422693536e+00
1.8481626615974819e+14 1.4565000236782308e-01 8.1031152105060453e+00
1.8494265065905959e+14 1.4817967928695605e-01 8.2088952094663519e+00
1.8506903515837103e+14 1.5066142424182424e-01 8.3135618561985183e+00
1.8519541965768247e+14 1.5312866842768580e-01 8.4169864611381406e+00
1.8532180415699391e+14 1.5562059658777758e-01 8.5190795222206201e+00
1.8544818865630531e+14 1.5818158428654980e-01 8.6197940616002207e+00
1.8557457315561675e+14 1.6086059031368682e-01 8.7191286430045309e+00
1.8570095765492819e+14 1.6371048838628718e-01 8.8171299818553166e+00
1.8582734215423962e+14 1.6678730675155645e-01 8.9138949066189852e+00
1.8595372665355103e+14 1.7014933619992340e-01 9.0095712736529627e+00
1.8608011115286247e+14 1.7385606934584250e-01 9.1043573157917912e+00
1.8620649565217391e+14 1.7796694864655249e-01 9.1984988622734640e+00
1.8633288015148534e+14 1.8253992720773460e-01 9.2922839482689028e+00
1.8645926465079675e+14 1.8762988164784483e-01 9.3860345620543058e+00
1.8658564915010819e+14 1.9328695361665019e-01 9.4800956456548242e+00
